CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
5085928,2,1,2,M,11,0,3,M,G,0,"SAN DIEGO","LEMON GROVE",2011
5085928,2,2,2,M,9,0,6,N,G,0,"SAN DIEGO","LEMON GROVE",2011
5085928,2,3,2,M,5,0,4,M,Q,0,"SAN DIEGO","LEMON GROVE",2011
5086561,1,1,2,M,29,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2011
5086561,1,2,2,M,37,0,4,M,G,0,"SAN DIEGO","SAN DIEGO",2011
5086561,1,3,2,M,19,0,6,M,G,0,"SAN DIEGO","SAN DIEGO",2011
5086561,2,1,4,M,42,3,1,P,W,0,"SAN DIEGO","SAN DIEGO",2011
5087835,2,1,3,M,44,3,9,-,-,3,"SAN DIEGO",OCEANSIDE,2011
5088473,2,1,4,F,16,4,1,P,V,0,"SAN DIEGO","EL CAJON",2011
5089240,1,1,2,M,19,0,2,M,G,0,"SAN DIEGO",ESCONDIDO,2011
5089240,2,1,3,M,76,3,9,P,-,0,"SAN DIEGO",ESCONDIDO,2011
5090533,2,1,3,M,8,4,9,-,-,3,"SAN DIEGO","EL CAJON",2011
5090821,1,1,3,M,47,4,9,-,-,3,"SAN DIEGO","LA MESA",2011
5090893,2,1,3,F,26,3,9,-,-,3,"SAN DIEGO","EL CAJON",2011
5090909,2,1,3,M,20,3,9,-,-,3,"SAN DIEGO","EL CAJON",2011
5090913,1,1,3,M,17,4,9,-,-,3,"SAN DIEGO","EL CAJON",2011
5091125,2,1,3,M,89,3,9,-,-,3,"SAN DIEGO",VISTA,2011
5091203,1,1,3,F,21,4,9,-,-,3,"SAN DIEGO","LEMON GROVE",2011
5091922,1,1,2,F,998,0,3,G,M,0,"SAN DIEGO","SAN DIEGO",2011
